Namespace,Folder,Groups
FedYYC,Action Grants,FedYYC-ActionGrants-Root-L-RO; FedYYC-ActionGrants-Root-L-RW
FedYYC,ActivateYYC,FedYYC-ActivateYYC-Root-L-RO; FedYYC-ActivateYYC-Root-L-RW
FedYYC,Annual General Meeting,FedYYC-AnnualGeneralMeeting-Root-L-RO; FedYYC-AnnualGeneralMeeting-Root-L-RW
FedYYC,Brand Masters,FedYYC-BrandMasters-Root-L-RO; FedYYC-BrandMasters-Root-L-RW
FedYYC,Business Directory,FedYYC-BusinessDirectory-Root-L-RO; FedYYC-BusinessDirectory-Root-L-RW
FedYYC,Citizens + Students,FedYYC-CitizensStudents-Root-L-RO; FedYYC-CitizensStudents-Root-L-RW
FedYYC,ClimateReadyYYC,FedYYC-ClimateReadyYYC-Root-L-RO; FedYYC-ClimateReadyYYC-Root-L-RW
FedYYC,Communications,FedYYC-Communications-Root-L-RO; FedYYC-Communications-Root-L-RW
FedYYC,Consulting,FedYYC-Consulting-Root-L-RO; FedYYC-Consulting-Root-L-RW
FedYYC,Energizing Spaces,FedYYC-EnergizingSpaces-Root-L-RO; FedYYC-EnergizingSpaces-Root-L-RW
FedYYC,Exploring Communities,FedYYC-ExploringCommunities-Root-L-RO; FedYYC-ExploringCommunities-Root-L-RW
FedYYC,External Committees,FedYYC-ExternalCommittees-Root-L-RO; FedYYC-ExternalCommittees-Root-L-RW
FedYYC,Financial Literacy,FedYYC-FinancialLiteracy-Root-L-RO; FedYYC-FinancialLiteracy-Root-L-RW
FedYYC,Forum,FedYYC-Forum-Root-L-RO; FedYYC-Forum-Root-L-RW
FedYYC,Fund Development,FedYYC-FundDevelopment-Root-L-RO; FedYYC-FundDevelopment-Root-L-RW
FedYYC,Good Places Project,FedYYC-GoodPlacesProject-Root-L-RO; FedYYC-GoodPlacesProject-Root-L-RW
FedYYC,Hero Awards,FedYYC-HeroAwards-Root-L-RO; FedYYC-HeroAwards-Root-L-RW
FedYYC,IT,FedYYC-IT-Root-L-RO; FedYYC-IT-Root-L-RW
FedYYC,Internal Committees,FedYYC-InternalCommittees-Root-L-RO; FedYYC-InternalCommittees-Root-L-RW
FedYYC,Jane's Walk,FedYYC-JanesWalk-Root-L-RO; FedYYC-JanesWalk-Root-L-RW
FedYYC,Lunch n Learns,FedYYC-LunchnLearns-Root-L-RO; FedYYC-LunchnLearns-Root-L-RW
FedYYC,March CA Awareness,FedYYC-MarchCAAwareness-Root-L-RO; FedYYC-MarchCAAwareness-Root-L-RW
FedYYC,Member Engagement,FedYYC-MemberEngagement-Root-L-RO; FedYYC-MemberEngagement-Root-L-RW
FedYYC,Member Resource Library,FedYYC-MemberResourceLibrary-Root-L-RO; FedYYC-MemberResourceLibrary-Root-L-RW
FedYYC,Membership,FedYYC-Membership-Root-L-RO; FedYYC-Membership-Root-L-RW
FedYYC,Milestones,FedYYC-Milestones-Root-L-RO; FedYYC-Milestones-Root-L-RW
FedYYC,Neighbour Day,FedYYC-NeighbourDay-Root-L-RO; FedYYC-NeighbourDay-Root-L-RW
FedYYC,Newsletter,FedYYC-Newsletter-Root-L-RO; FedYYC-Newsletter-Root-L-RW
FedYYC,One-on-One Support,FedYYC-OneonOneSupport-Root-L-RO; FedYYC-OneonOneSupport-Root-L-RW
FedYYC,Partners In Planning,FedYYC-PartnersInPlanning-Root-L-RO; FedYYC-PartnersInPlanning-Root-L-RW
FedYYC,Social Media,FedYYC-SocialMedia-Root-L-RO; FedYYC-SocialMedia-Root-L-RW
FedYYC,Urban Planning Topics,FedYYC-UrbanPlanningTopics-Root-L-RO; FedYYC-UrbanPlanningTopics-Root-L-RW
FedYYC,Website,FedYYC-Website-Root-L-RO; FedYYC-Website-Root-L-RW
FedYYC,Workshops,FedYYC-Workshops-Root-L-RO; FedYYC-Workshops-Root-L-RW
