FolderPath,ShareName,DomainLocalGroup,Permissions
E:\Action Grants,ActionGrants$,ActionGrants-Root-L-RO,Read
E:\Action Grants,ActionGrants$,ActionGrants-Root-L-RW,Change
E:\ActivateYYC,ActivateYYC$,ActivateYYC-Root-L-RO,Read
E:\ActivateYYC,ActivateYYC$,ActivateYYC-Root-L-RW,Change
E:\Annual General Meeting,AnnualGeneralMeeting$,AnnualGeneralMeeting-Root-L-RO,Read
E:\Annual General Meeting,AnnualGeneralMeeting$,AnnualGeneralMeeting-Root-L-RW,Change
E:\Brand Masters,BrandMasters$,BrandMasters-Root-L-RO,Read
E:\Brand Masters,BrandMasters$,BrandMasters-Root-L-RW,Change
E:\Business Directory,BusinessDirectory$,BusinessDirectory-Root-L-RO,Read
E:\Business Directory,BusinessDirectory$,BusinessDirectory-Root-L-RW,Change
E:\Citizens + Students,CitizensStudents$,CitizensStudents-Root-L-RO,Read
E:\Citizens + Students,CitizensStudents$,CitizensStudents-Root-L-RW,Change
E:\ClimateReadyYYC,ClimateReadyYYC$,ClimateReadyYYC-Root-L-RO,Read
E:\ClimateReadyYYC,ClimateReadyYYC$,ClimateReadyYYC-Root-L-RW,Change
E:\Communications,Communications$,Communications-Root-L-RO,Read
E:\Communications,Communications$,Communications-Root-L-RW,Change
E:\Consulting,Consulting$,Consulting-Root-L-RO,Read
E:\Consulting,Consulting$,Consulting-Root-L-RW,Change
E:\Energizing Spaces,EnergizingSpaces$,EnergizingSpaces-Root-L-RO,Read
E:\Energizing Spaces,EnergizingSpaces$,EnergizingSpaces-Root-L-RW,Change
E:\Exploring Communities,ExploringCommunities$,ExploringCommunities-Root-L-RO,Read
E:\Exploring Communities,ExploringCommunities$,ExploringCommunities-Root-L-RW,Change
E:\External Committees,ExternalCommittees$,ExternalCommittees-Root-L-RO,Read
E:\External Committees,ExternalCommittees$,ExternalCommittees-Root-L-RW,Change
E:\Financial Literacy,FinancialLiteracy$,FinancialLiteracy-Root-L-RO,Read
E:\Financial Literacy,FinancialLiteracy$,FinancialLiteracy-Root-L-RW,Change
E:\Forum,Forum$,Forum-Root-L-RO,Read
E:\Forum,Forum$,Forum-Root-L-RW,Change
E:\Fund Development,FundDevelopment$,FundDevelopment-Root-L-RO,Read
E:\Fund Development,FundDevelopment$,FundDevelopment-Root-L-RW,Change
E:\GoodSpotYYC,GoodSpotYYC$,GoodSpotYYC-Root-L-RO,Read
E:\GoodSpotYYC,GoodSpotYYC$,GoodSpotYYC-Root-L-RW,Change
E:\Hero Awards,HeroAwards$,HeroAwards-Root-L-RO,Read
E:\Hero Awards,HeroAwards$,HeroAwards-Root-L-RW,Change
E:\IT,IT$,IT-Root-L-RO,Read
E:\IT,IT$,IT-Root-L-RW,Change
E:\Internal Committees,InternalCommittees$,InternalCommittees-Root-L-RO,Read
E:\Internal Committees,InternalCommittees$,InternalCommittees-Root-L-RW,Change
E:\Jane's Walk,JanesWalk$,JanesWalk-Root-L-RO,Read
E:\Jane's Walk,JanesWalk$,JanesWalk-Root-L-RW,Change
E:\Lunch n Learns,LunchnLearns$,LunchnLearns-Root-L-RO,Read
E:\Lunch n Learns,LunchnLearns$,LunchnLearns-Root-L-RW,Change
E:\March CA Awareness,MarchCAAwareness$,MarchCAAwareness-Root-L-RO,Read
E:\March CA Awareness,MarchCAAwareness$,MarchCAAwareness-Root-L-RW,Change
E:\Member Engagement,MemberEngagement$,MemberEngagement-Root-L-RO,Read
E:\Member Engagement,MemberEngagement$,MemberEngagement-Root-L-RW,Change
E:\Member Resource Library,MemberResourceLibrary$,MemberResourceLibrary-Root-L-RO,Read
E:\Member Resource Library,MemberResourceLibrary$,MemberResourceLibrary-Root-L-RW,Change
E:\Membership,Membership$,Membership-Root-L-RO,Read
E:\Membership,Membership$,Membership-Root-L-RW,Change
E:\Milestones,Milestones$,Milestones-Root-L-RO,Read
E:\Milestones,Milestones$,Milestones-Root-L-RW,Change
E:\Neighbour Day,NeighbourDay$,NeighbourDay-Root-L-RO,Read
E:\Neighbour Day,NeighbourDay$,NeighbourDay-Root-L-RW,Change
E:\Newsletter,Newsletter$,Newsletter-Root-L-RO,Read
E:\Newsletter,Newsletter$,Newsletter-Root-L-RW,Change
E:\One-on-One Support,OneonOneSupport$,OneonOneSupport-Root-L-RO,Read
E:\One-on-One Support,OneonOneSupport$,OneonOneSupport-Root-L-RW,Change
E:\Partners In Planning,PartnersInPlanning$,PartnersInPlanning-Root-L-RO,Read
E:\Partners In Planning,PartnersInPlanning$,PartnersInPlanning-Root-L-RW,Change
E:\Social Media,SocialMedia$,SocialMedia-Root-L-RO,Read
E:\Social Media,SocialMedia$,SocialMedia-Root-L-RW,Change
E:\Sponsors,Sponsors$,Sponsors-Root-L-RO,Read
E:\Sponsors,Sponsors$,Sponsors-Root-L-RW,Change
E:\Urban Planning Topics,UrbanPlanningTopics$,UrbanPlanningTopics-Root-L-RO,Read
E:\Urban Planning Topics,UrbanPlanningTopics$,UrbanPlanningTopics-Root-L-RW,Change
E:\Website,Website$,Website-Root-L-RO,Read
E:\Website,Website$,Website-Root-L-RW,Change
E:\Workshops,Workshops$,Workshops-Root-L-RO,Read
E:\Workshops,Workshops$,Workshops-Root-L-RW,Change
