FolderPath,ShareName,DomainLocalGroup,Permissions
D:\Action Grants,ActionGrants$,ActionGrants-Root-L-RO,Read
D:\Action Grants,ActionGrants$,ActionGrants-Root-L-RW,Change
D:\ActivateYYC,ActivateYYC$,ActivateYYC-Root-L-RO,Read
D:\ActivateYYC,ActivateYYC$,ActivateYYC-Root-L-RW,Change
D:\Annual General Meeting,AnnualGeneralMeeting$,AnnualGeneralMeeting-Root-L-RO,Read
D:\Annual General Meeting,AnnualGeneralMeeting$,AnnualGeneralMeeting-Root-L-RW,Change
D:\Brand Masters,BrandMasters$,BrandMasters-Root-L-RO,Read
D:\Brand Masters,BrandMasters$,BrandMasters-Root-L-RW,Change
D:\Business Directory,BusinessDirectory$,BusinessDirectory-Root-L-RO,Read
D:\Business Directory,BusinessDirectory$,BusinessDirectory-Root-L-RW,Change
D:\Citizens + Students,CitizensStudents$,CitizensStudents-Root-L-RO,Read
D:\Citizens + Students,CitizensStudents$,CitizensStudents-Root-L-RW,Change
D:\ClimateReadyYYC,ClimateReadyYYC$,ClimateReadyYYC-Root-L-RO,Read
D:\ClimateReadyYYC,ClimateReadyYYC$,ClimateReadyYYC-Root-L-RW,Change
D:\Communications,Communications$,Communications-Root-L-RO,Read
D:\Communications,Communications$,Communications-Root-L-RW,Change
D:\Consulting,Consulting$,Consulting-Root-L-RO,Read
D:\Consulting,Consulting$,Consulting-Root-L-RW,Change
D:\Energizing Spaces,EnergizingSpaces$,EnergizingSpaces-Root-L-RO,Read
D:\Energizing Spaces,EnergizingSpaces$,EnergizingSpaces-Root-L-RW,Change
D:\Exploring Communities,ExploringCommunities$,ExploringCommunities-Root-L-RO,Read
D:\Exploring Communities,ExploringCommunities$,ExploringCommunities-Root-L-RW,Change
D:\External Committees,ExternalCommittees$,ExternalCommittees-Root-L-RO,Read
D:\External Committees,ExternalCommittees$,ExternalCommittees-Root-L-RW,Change
D:\Financial Literacy,FinancialLiteracy$,FinancialLiteracy-Root-L-RO,Read
D:\Financial Literacy,FinancialLiteracy$,FinancialLiteracy-Root-L-RW,Change
D:\Forum,Forum$,Forum-Root-L-RO,Read
D:\Forum,Forum$,Forum-Root-L-RW,Change
D:\Fund Development,FundDevelopment$,FundDevelopment-Root-L-RO,Read
D:\Fund Development,FundDevelopment$,FundDevelopment-Root-L-RW,Change
D:\GoodSpotYYC,GoodSpotYYC$,GoodSpotYYC-Root-L-RO,Read
D:\GoodSpotYYC,GoodSpotYYC$,GoodSpotYYC-Root-L-RW,Change
D:\Hero Awards,HeroAwards$,HeroAwards-Root-L-RO,Read
D:\Hero Awards,HeroAwards$,HeroAwards-Root-L-RW,Change
D:\IT,IT$,IT-Root-L-RO,Read
D:\IT,IT$,IT-Root-L-RW,Change
D:\Internal Committees,InternalCommittees$,InternalCommittees-Root-L-RO,Read
D:\Internal Committees,InternalCommittees$,InternalCommittees-Root-L-RW,Change
D:\Jane's Walk,JanesWalk$,JanesWalk-Root-L-RO,Read
D:\Jane's Walk,JanesWalk$,JanesWalk-Root-L-RW,Change
D:\Lunch n Learns,LunchnLearns$,LunchnLearns-Root-L-RO,Read
D:\Lunch n Learns,LunchnLearns$,LunchnLearns-Root-L-RW,Change
D:\March CA Awareness,MarchCAAwareness$,MarchCAAwareness-Root-L-RO,Read
D:\March CA Awareness,MarchCAAwareness$,MarchCAAwareness-Root-L-RW,Change
D:\Member Engagement,MemberEngagement$,MemberEngagement-Root-L-RO,Read
D:\Member Engagement,MemberEngagement$,MemberEngagement-Root-L-RW,Change
D:\Member Resource Library,MemberResourceLibrary$,MemberResourceLibrary-Root-L-RO,Read
D:\Member Resource Library,MemberResourceLibrary$,MemberResourceLibrary-Root-L-RW,Change
D:\Membership,Membership$,Membership-Root-L-RO,Read
D:\Membership,Membership$,Membership-Root-L-RW,Change
D:\Milestones,Milestones$,Milestones-Root-L-RO,Read
D:\Milestones,Milestones$,Milestones-Root-L-RW,Change
D:\Neighbour Day,NeighbourDay$,NeighbourDay-Root-L-RO,Read
D:\Neighbour Day,NeighbourDay$,NeighbourDay-Root-L-RW,Change
D:\Newsletter,Newsletter$,Newsletter-Root-L-RO,Read
D:\Newsletter,Newsletter$,Newsletter-Root-L-RW,Change
D:\One-on-One Support,OneonOneSupport$,OneonOneSupport-Root-L-RO,Read
D:\One-on-One Support,OneonOneSupport$,OneonOneSupport-Root-L-RW,Change
D:\Partners In Planning,PartnersInPlanning$,PartnersInPlanning-Root-L-RO,Read
D:\Partners In Planning,PartnersInPlanning$,PartnersInPlanning-Root-L-RW,Change
D:\Social Media,SocialMedia$,SocialMedia-Root-L-RO,Read
D:\Social Media,SocialMedia$,SocialMedia-Root-L-RW,Change
D:\Sponsors,Sponsors$,Sponsors-Root-L-RO,Read
D:\Sponsors,Sponsors$,Sponsors-Root-L-RW,Change
D:\Urban Planning Topics,UrbanPlanningTopics$,UrbanPlanningTopics-Root-L-RO,Read
D:\Urban Planning Topics,UrbanPlanningTopics$,UrbanPlanningTopics-Root-L-RW,Change
D:\Website,Website$,Website-Root-L-RO,Read
D:\Website,Website$,Website-Root-L-RW,Change
D:\Workshops,Workshops$,Workshops-Root-L-RO,Read
D:\Workshops,Workshops$,Workshops-Root-L-RW,Change
