FolderPath,ShareName,DomainLocalGroup,Permissions
D:\FedYYC-Action Grants,FedYYC-ActionGrants$,FedYYC-ActionGrants-Root-L-RO,Read
D:\FedYYC-Action Grants,FedYYC-ActionGrants$,FedYYC-ActionGrants-Root-L-RW,Change
D:\FedYYC-ActivateYYC,FedYYC-ActivateYYC$,FedYYC-ActivateYYC-Root-L-RO,Read
D:\FedYYC-ActivateYYC,FedYYC-ActivateYYC$,FedYYC-ActivateYYC-Root-L-RW,Change
D:\FedYYC-Annual General Meeting,FedYYC-AnnualGeneralMeeting$,FedYYC-AnnualGeneralMeeting-Root-L-RO,Read
D:\FedYYC-Annual General Meeting,FedYYC-AnnualGeneralMeeting$,FedYYC-AnnualGeneralMeeting-Root-L-RW,Change
D:\FedYYC-Brand Masters,FedYYC-BrandMasters$,FedYYC-BrandMasters-Root-L-RO,Read
D:\FedYYC-Brand Masters,FedYYC-BrandMasters$,FedYYC-BrandMasters-Root-L-RW,Change
D:\FedYYC-Communications,FedYYC-Communications$,FedYYC-Communications-Root-L-RO,Read
D:\FedYYC-Communications,FedYYC-Communications$,FedYYC-Communications-Root-L-RW,Change
D:\FedYYC-Business Directory,FedYYC-BusinessDirectory$,FedYYC-BusinessDirectory-Root-L-RO,Read
D:\FedYYC-Business Directory,FedYYC-BusinessDirectory$,FedYYC-BusinessDirectory-Root-L-RW,Change
D:\FedYYC-ClimateReadyYYC,FedYYC-ClimateReadyYYC$,FedYYC-ClimateReadyYYC-Root-L-RO,Read
D:\FedYYC-ClimateReadyYYC,FedYYC-ClimateReadyYYC$,FedYYC-ClimateReadyYYC-Root-L-RW,Change
D:\FedYYC-Citizens + Students,FedYYC-CitizensStudents$,FedYYC-CitizensStudents-Root-L-RO,Read
D:\FedYYC-Citizens + Students,FedYYC-CitizensStudents$,FedYYC-CitizensStudents-Root-L-RW,Change
D:\FedYYC-Consulting,FedYYC-Consulting$,FedYYC-Consulting-Root-L-RO,Read
D:\FedYYC-Consulting,FedYYC-Consulting$,FedYYC-Consulting-Root-L-RW,Change
D:\FedYYC-Energizing Spaces,FedYYC-EnergizingSpaces$,FedYYC-EnergizingSpaces-Root-L-RO,Read
D:\FedYYC-Energizing Spaces,FedYYC-EnergizingSpaces$,FedYYC-EnergizingSpaces-Root-L-RW,Change
D:\FedYYC-Exploring Communities,FedYYC-ExploringCommunities$,FedYYC-ExploringCommunities-Root-L-RO,Read
D:\FedYYC-Exploring Communities,FedYYC-ExploringCommunities$,FedYYC-ExploringCommunities-Root-L-RW,Change
D:\FedYYC-External Committees,FedYYC-ExternalCommittees$,FedYYC-ExternalCommittees-Root-L-RO,Read
D:\FedYYC-External Committees,FedYYC-ExternalCommittees$,FedYYC-ExternalCommittees-Root-L-RW,Change
D:\FedYYC-External Committees,FedYYC-ExternalCommittees$,FedYYC-ExternalCommittees-BoardLeadershipCalgary-L-RW,Change
D:\FedYYC-Financial Literacy,FedYYC-FinancialLiteracy$,FedYYC-FinancialLiteracy-Root-L-RO,Read
D:\FedYYC-Financial Literacy,FedYYC-FinancialLiteracy$,FedYYC-FinancialLiteracy-Root-L-RW,Change
D:\FedYYC-Forum,FedYYC-Forum$,FedYYC-Forum-Root-L-RO,Read
D:\FedYYC-Forum,FedYYC-Forum$,FedYYC-Forum-Root-L-RW,Change
D:\FedYYC-Fund Development,FedYYC-FundDevelopment$,FedYYC-FundDevelopment-Root-L-RO,Read
D:\FedYYC-Fund Development,FedYYC-FundDevelopment$,FedYYC-FundDevelopment-Root-L-RW,Change
D:\FedYYC-Fund Development,FedYYC-FundDevelopment$,FedYYC-FundDevelopment-Admin-L-RW,Change
